"source_site","job_id","job_title","company_name","location","salary_min","salary_max","date_posted","tags","job_description","scraped_date"
"RemoteOK","1130174","YouTube Video Team Lead","Hostinger","Vilnius","0","0","2026-02-10","support, software, growth, video, education, post-production, lead, content, health, educational","Join Hostinger, and weâll grow fast! ðIs there a limit to growth? Not at Hostinger. Weâre constantly reaching new heights. With a team of 900+ professionals, we are behind the success of over 3.5 million clients in 150 countries, helping them launch their e-shops, blogs, portfolios, businesses, and passion projects. Our mission: To provide tools that help individuals and small businesses succeed online faster and easier.Our culture: Guided by 10 company principles.Our formula for success: Customer obsession, innovative products, and talented teams.Your role at Hostinger YouTube Video Team Lead for Hostinger Academy - where education meets inspiration. Transform how millions learn online! As YouTube Video Team Lead at Hostinger, you'll build and lead a team of talented editors who bring our educational content to life. You'll own the entire post-production processâfrom establishing creative standards to optimizing every frame for maximum engagement.This role demands both creati...","2026-02-11"
"RemoteOK","1130173","Manager Editorial","Princeton10","New York, NY","0","0","2026-02-10","manager, test, leader, management, lead, content, health, healthcare, non tech","We are seeking a Manager, Editorial to lead and oversee our editorial function. This role is critical in ensuring that all client deliverables, ranging from promotional materials and digital campaigns to scientific content, meet the highest standards for accuracy, clarity, consistency, and compliance with pharmaceutical/healthcare regulations. As the leader of a small but growing team, you will play a hands-on role in editing, while also coaching and developing editorial staff (~75% editing, 25% leading). You will report to the VP, Creative Director, Copy.\nResponsibilities Editorial Leadership & OversightManage and mentor a team of editors, providing coaching, training, and performance feedback.Oversee editorial workflow across multiple accounts, ensuring projects are completed on time and to standard.Maintain and enforce Princeton10âs editorial style guides and standards, ensuring consistency across all work.Compliance & Quality AssuranceReview all promotional and scientific conten...","2026-02-11"
"RemoteOK","1130172","Wing Assistant Healthcare Virtual Assistant Mexico","Wing","Mexico City","0","0","2026-02-10","assistant, operations, healthcare","Please whitelist the domains ""lever.co"" and ""hire.lever.co"" with your email provider to make sure you get our emails. Disclaimer: This is a generic job description for the position stated below. Actual tasks and tools will be discussed further when you reach the final interview stage. Please ensure you apply for the right job based on your location and experience. We prioritize people who can do this successfully! *Please only apply for this job if you are located in MX and LATAM Healthcare Virtual Assistant (Remote) Wing is on the exciting mission of redefining the future of work for companies worldwide! We are looking to be the one-stop shop for companies that are looking to build world-class teams & place their operations on autopilot. And we're looking for a Healthcare Virtual Assistant to start immediately! Duties and Responsibilities include but are not limited to: 1. Document new patient and referral intake 2. Manage appointment bookings, cancellations, and rescheduling forPleas...","2026-02-11"
"RemoteOK","1130170","Polish Speaking Customer Service for Healthcare Industry Greece","Patrique Mercier Recruitment By Nellie","Remote","0","0","2026-02-10","training, support, software, microsoft, health, healthcare, recruiter, recruitment","Patrique Mercier Recruitment FR is pleased to announce an exciting opportunity for a Polish Speaking Customer Service Representative in the Healthcare industry. This role is ideal for individuals looking to make a difference in people's lives by providing exceptional service and support to Polish-speaking clients navigating healthcare services.Responsibilities Deliver high-quality customer service to Polish-speaking clients through phone, email, and chat, addressing inquiries related to healthcare services and products. Assist clients with appointment scheduling, insurance inquiries, and general healthcare questions. Provide accurate information about healthcare options and resources available to clients. Handle customer complaints and feedback in a professional manner, ensuring a high level of client satisfaction. Collaborate with healthcare professionals and internal teams to resolve issues and enhance the client experience. Maintain up-to-date knowledge of healthcare policies and pr...","2026-02-11"
"RemoteOK","1130168","Staff AI Engineer R37","Phare Health","Remote","140000","350000","2026-02-10","design, system, technical, software, growth, travel, financial, education, investment, lead, operational, go, medical, healthcare, recruiting, engineer, digital nomad","R1 is thrilled to introduce R37, committed to transforming healthcare financial performance so providers can focus on delivering exceptional care. R37 is pioneering an AI-driven approach to revolutionize revenue cycle management. Today we serve 95 of the top 100 hospital systems in the US and R37 will serve as the AI platform layer delivering results for our customers. Joining R37 offers the dynamic energy of a startup, backed by solid revenue, clear business value, and strong investment support.As a Staff AI Engineer for the R37 Team, you will play a pivotal role in shaping and delivering AI-driven technical solutions that drive real business outcomes. You will lead the development of early-phase AI systems to tackle complex unstructured data problems in healthcare, driving results for customers, and developing systems to measure and improve AI performance.What you will do as a Staff AI Engineer for the R37 Team:Lead AI Development: Spearhead the creation of initial-phase AI systems f...","2026-02-11"
"RemoteOK","1130166","Advocate Federal","Figma","Washington, DC","0","0","2026-02-10","design, video, sales, digital nomad","Figma is growing our team of passionate creatives and builders on a mission to make design accessible to all. Figma's platform helps teams bring ideas to lifeâwhether you're brainstorming, creating a prototype, translating designs into code, or iterating with AI. From idea to product, Figma empowers teams to streamline workflows, move faster, and work together in real time from anywhere in the world. If you're excited to shape the future of design and collaboration, join us! At Figma, we're building a vibrant community where designers come together to learn, grow, and connect around their shared passion. Our Advocacy team is central to this missionâempowering our users through engaging content, meaningful interactions, and genuine advocacy. This Advocate would focus on supporting public sector organizations as they modernize how they design, build, and collaborate, partnering closely with our Marketing, Sales, and Product teams. You'll bring deep design expertise, authentic storyte...","2026-02-11"
"RemoteOK","1130165","Senior Director Customer Success Product Portfolio Management","Veeam Software","Remote, United States","0","0","2026-02-10","dev, director, leader, management, senior, go, digital nomad","Veeam, the #1 global market leader in data resilience, believes businesses should control all their data whenever and wherever they need it. Veeam provides data resilience through data backup, data recovery, data portability, data security, and data intelligence. Based in Seattle, Veeam protects over 550,000 customers worldwide who trust Veeam to keep their businesses running. Join us as we move forward together, growing, learning, and making a real impact for some of the worldâs biggest brands. The future of data resilience is here - go fearlessly forward with us. Summary: Please mention the word **ELATED** and tag RMjQwMDoxYTAwOmIwNjA6MWQ5NDo0MTc5OmY3Yzc6NDIxYjo5ZDRk when applying to show you read the job post completely (#RMjQwMDoxYTAwOmIwNjA6MWQ5NDo0MTc5OmY3Yzc6NDIxYjo5ZDRk). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.","2026-02-11"
"RemoteOK","1130164","Senior Software Engineer DevProd","Temporal Technologies","Remote","0","0","2026-02-10","software, design, support, developer, senior, reliability, engineer, engineering, digital nomad","About Us Temporal is an open source programming model that can simplify code, make applications more reliable, and help developers focus on the important things like delivering features faster. We are on a mission to be the reliable foundation of every developerâs toolbox, and are building the team that will make that happen. Our values guide us âthey are present in how we show up, make decisions, and work together to make an impact. Weâre curious, driven, collaborative, genuine and humble. Temporal is growing and we are looking for those who share our values, challenge 'standard' thinking, and want to influence our future. If you have a passion for improving the developer experience, building world-class open-source software and communities, and want to be a part of our amazing team, we'd love to hear from you! Summary We have an opening for a Senior Software Engineer on our Infrastructure Team, with specific focus on Observability - both internal and customer-facing. This is an...","2026-02-11"
"RemoteOK","1130163","Senior Staff Platform Engineer","Veeam Software","Remote, United States","0","0","2026-02-09","dev, design, cloud, microsoft, leader, lead, senior, go, engineer, digital nomad","Veeam, the #1 global market leader in data resilience, believes businesses should control all their data whenever and wherever they need it. Veeam provides data resilience through data backup, data recovery, data portability, data security, and data intelligence. Based in Seattle, Veeam protects over 550,000 customers worldwide who trust Veeam to keep their businesses running. Join us as we move forward together, growing, learning, and making a real impact for some of the worldâs biggest brands. The future of data resilience is here - go fearlessly forward with us.About the RoleWe are looking for a Senior Staff Platform Engineer to lead the design and evolution of our global cloud infrastructure, with deep expertise in Microsoft Azure. This role is ideal for a hands-Please mention the word **SPELLBINDING** and tag RMjQwMDoxYTAwOmIwNjA6MWQ5NDo0MTc5OmY3Yzc6NDIxYjo5ZDRk when applying to show you read the job post completely (#RMjQwMDoxYTAwOmIwNjA6MWQ5NDo0MTc5OmY3Yzc6NDIxYjo5ZDRk). This ...","2026-02-11"
"RemoteOK","1130162","Senior Software Engineer India","Alpaca","Remote","0","0","2026-02-09","software, crypto, technical, devops, financial, investment, api, leader, management, senior, operations, engineer, engineering","Who We Are: Alpaca is a US-headquartered self-clearing broker-dealer and brokerage infrastructure for stocks, ETFs, options, crypto, fixed income, 24/5 trading, and more. Our recent Series D funding round brought our total investment to over $320 million, fueling our ambitious vision. Amongst our subsidiaries, Alpaca is a licensed financial services company, serving hundreds of financial institutions across 40 countries with our institutional-grade APIs. This includes broker-dealers, investment advisors, wealth managers, hedge funds, and crypto exchanges, totalling over 9 million brokerage accounts. Our global team is a diverse group of experienced engineers, traders, and brokerage professionals who are working to achieve our mission of opening financial services to everyone on the planet. We're deeply committed to open-source contributions and fostering a vibrant community, continuously enhancing our award-winning, developer-friendly API and the robust infrastructure behind it. Alpaca...","2026-02-11"
